User,Text
@toasfu479,tốn cái lều
@MaiUyênHoàng,"Thik cái cách anh Nam đổi giọng , nghe nó cuốn gì đâu luôn ý 😂"
@daha7306,"Nam làm chủ đề này đi 
- từ nhỏ tới lớn hâu như kg rất ít khi nói láo 
-Mà lúc yêu quen, là luôn luôn nói láo , nói  láo kiểu văn vảnh để phụ nữa ít bả bẻ kiếm chuyện lại (khai thác này đi)"
@quangcoijp,Xem đi xem lại mười mấy lần có thấy hay đâu
@TruongXumni,Vẫn rất dễ thương 😂
@laurapham2003,Rất vui rất hay nha bạn
@uhmmm2804,Set này cảm giác ông Nam ồn hơn thì phải=))?
@Thutrucc-008,Ông Long xem set này cười đủ tiền vé luôn
@TuNguyen-pb8os,Chuyên nghiệp luôn rồi nè
@Tomas7471,"Nam diễn hay quá, 10 điểm ạ 😂"
@yennguyen10493,Đứa nào? đứa nào??????????
@ThuThảo-0111,"Đúng là người học tâm lý có khác, ổng nói về tâm lý phụ nữ đúng quá hong cãi đc😂"
@vietanhbui7962,Ông khán giả đeo kính gay chắc 😂
@vohoangquan1977,hài độc thoại cứ PHƯƠNG NAM MÀ TIẾN THOI
@Kbang85742,mỗi lần mún coi cái j zui zui hài hài lm mìn cười thì tui sẽ coi saigon tếu =))
@GiaLinh-r2e7c,Cười bể bụng luôn á
@hanhtinhnhomataiuongnhoiso2002,"Ngủ là tốt đó
Nhiều cha ngủ là mở mắt dậy hôm sau salon 1sao"
@NguyenBaoNgoc-h8d,Bạn này nhìn kiểu giống kiểu Trấn Thành nhỉ. Miếng nhiều nhưng lời lẽ thì theo mình nên coi lại xíu vì bạn nhỏ và khán giả có lớn nhỏ nhưng bạn bị lố câu từ chút xíu. Còn lại bạn ổn
@ĐạtThành-n8s1i,Quá nhiều chất xám cho 12 phút này. Đẳng cấp
@aisonmasmusic,anh này vui tính quá
@QuynhNguyen-1507,Hâm mộ ❤
@LinhVN-j2d,"ơ ơ ơ, Xuất .......
moá ông Nam bậy"
@phihuy1260,Đoạn cuối body langue xong lại còn: Xuất xuất xuất...... .  :))
@quochuyle1154,cảm giác phương nam như gánh còng lưng cho cái team này
@onele92,Tuyệt
@quangdungtran2005,👏👏👏
@CrisNamm09,Hay a ơi
@nguyenthinhnguyenvan2961,Thích cái cách Nam lấy được tiếng cười của khán giả và đắc ý đấm tay vào không khí ở cuối video. Nhiệt huyết lắm
@baohonai,Thế thì anh Nam chỉ còn uống 1 lon redbull và ly cà phê thì thức tới sáng
@tomlikenew,Tôi đã coi và không thích Tôi sẽ coi nữa
@soncale2339,Tui xem lần thứ 4 rồi mà vẫn cừi điêng
@thienhuynh6053,"Lạc nhách luôn á, kiểu ko có duyên mà làm hài nó gượng lắm. Chẳng qua cò mồi ngồi dưới cười thuê vậy chứ tui thấy quá lạc"
@thuyduongnguyen5401,"Đang bị bệnh cảm. Coi hài em
Phương Nam cười hết sốt luôn."
@lediep2012,Set này hay lắm Nam ơi r🎉🎉🎉🎉
@tupham-p8d,HIẾU THỨ HAI!!!!!!
@LongNguyen-wj4ji,"Thần thái, cách diễn càng ngày càng tự nhiên, Tây hoá style như cách Nam ngày càng tương tác với khán giả, joke khán giả, lợi dụng những thứ xung quanh. Quá đỉnh. Mong SG Tếu về lại Đà nẵng để đi xem Nam ngoài đời 1 lần cho biết"
@lamle5647,phương nam số 1
@thinhhuynh4322,coi đi coi lại 5 6 lần r á trời
@Sunday_LieuQuynh,"Anh Phương Nam là trai thẳng mà, thấy trai là thẳng :))"
@ngalee7713,Coi ông nội Nam ổng diễn mà cười muốn đẻ luôn 😅😂😂😂
@HanPham-u9r,Khúc cuối bùng nổ đã thật sự
@hotliketeam,Nam lại level up rồi ❤
@chaubui7330,"Có thật đấy bạn… đi massage  một tiếng…. vừa làm chừng 5 phút là tôi cũng ngủ mất tiêu…. Đó là tôi đi lần đầu tiên ở Las Vegas, con gái nó dẫn đi,, toàn thân,,, Tới lúc người ta kêu mình dậy xong rồi mình mới giật mình ngủ lúc nào không vậy😂"
@vuhuynh6869-t8v,"""Phụ nữ ghét những thứ không có cảm xúc.
Phụ nữ không ghét những thứ không có cảm xúc""
Là sao? Là ông Phương Nam nói lộn hay như nào ai giải thích hộ cái?"
@VânThân-o3r,ko hay = mấy set trc
@phamtrang241,Nay body Nam ổn nha
@Tobiinyourside,"Nam có cái hay là khịa thẳng, rất nhiều nhưng mà cho cảm giác vui chứ khó thể nào tự ti hay buồn được"
@banlamduoc-bancothe6621,Hôm nay vui nhưng chỉ với phần cuối về chủ đề cảm xúc phụ nữa. Còn phần đầu nếu k xem Phương Nam nhiều thì k vui lắm. Logic chỗ Ba OK á 😂😂
@lindamisu83,Lên
@VănThậtNguyễn-n9u,Dí anh k tóc tới luôn...Nam nó nhay
@pear4348,đi ăn cưới coi mà cười ddais luôn á:)
@MingD2049,"video này Nam khá hay, nhưng hơi tội cho anh Long, đúng là hài kịch diễn ra trên bi kịch khi mình k phải là nạn nhân😅"
@vinhnguyentruong4237,"vẫn nhìn bạn ấy quá giống Trấn Thành hồi đầu thập kỷ trước, miệng cũng hoạt ngôn y như Trấn Thành lúc xưa. Chỉ mong bạn hãy luôn hề hước và không nhiều nước mắt như ai kia... Cảm ơn!"
@kenhgiaitri1864,❤️
@nguyentuan-xi5hh,Duyên dáng ❤
@MinhLe-x1v,Nhìn giống chuyên gia giao phối mà thằng nào nói gay ngáo v
@minhcao2612,"Long không lông ha, nảy số nhanh thật"
@VanQuanKenh,.
@Nimpo1205,Có gì đâu hay trời ! Vậy mà video dài 1 tiếng -_-
@thenormalboys,Phương Nam diễn Hài độc Hại hay quá
@lyo3740,không chỉ những ông bố hắt hơi vang trời mà còn có cả ông ngoại tui🤣
@HanNguyen-dp9cx,"hình như bố miền bắc sản xuất theo lô hay sao á, bố tui hắt xì y chang bác Nhân"
@yii.1501,"Tr đất cơi, đi coi show ảnh về cười bò lăn tới nhà luôn á -)))"
@doannguyen-t1x,Nam level up😊
@TuanAnh-sn2qz,r đặt cảm xúc vào sao đây khó thế
@Minhan-z8k4x,giờ cứ thích xem ổng diễn suốt
@TrươngThịYếnNhi-z7y,2:57 ông kia cười xã giao dữ vậy
@tungo231,❤❤❤
@TredecimSxcenti,"Nam thì quá hay rồi mà cho hỏi ai edit cái video cứ đoạn cười cái là quay xuống khán giả nhiều đoạn nó ko cần thiết á, ngta chỉ muốn coi Nam đâu cần coi cái khác. Coi vài phút mà thấy bực mình out luôn"
@nhienan-552,Cũng k biết sao mấy năm qua tui chỉ thích xem mỗi ông Nam.Từ giọng đến cách truyền tải cảm xúc.
@thucnguyen7137,Cảm ơn bạn!
@lehoanson2710,"ai đi xem hài độc thoại phải có máu hề, ai k có thì đi về chứ đừng toxic nhé."
@gamevideo240,cả set này chỉ ok mỗi joke cuối
@manhdao2870,set này peak quá ae ợ !!
@HangNguyen-en7cw,Ủa sao mà hết nhanh dzữ
@SáSùngVạnNinh,Phương nam rất là nam
@nguyetminh8092,"Không ai thấy ông Nam nhìn đô hơn, ngon hơn à ta. Ổng đi ra mà tui thấy wow luôn á 😂"
@phamluan1998,Xuất xuất làm tưởng xuất cái kia cml 😂😂
@QuyNguyen-gt4sq,Up level quá đỉnh 😂
@sharetogether7468,10:18 cảm xúc
@tramylenguyen3233,"Đúng là ""Ai cũng bắt đầu từ đâu đó"". Phương Nam ngày càng duyên và mảng miếng rất sắc sảo và nó rất ""đời"", ai cũng có thể gặp bản thân mình trong câu chuyện của Nam. Tuyệt vời lắm ạ!"
@Ron-um9lw,"Nam có set diễn này duyên quá. Tương tác khách rất duyên , vừa đủ và kiểu không bám sát vào kịch bản, tự nhiên cực kỳ."
@kaitoungo840,trông ổng béo lên nhỉ
@XINHTUOITOEIC,anh Long lời quá nha a Long. Được gọi tên quá chời lun 🤣🤣🤣
@phantom3214,👍👍👍
@lepka4036,a
@tambetta834,Tôi mong anh Long là người của ekip
@tinhthuonglon6545,"đây là set hay nhất của anh Phương Nam từ trước đến nay, quá đỉnh"
@thunguyen-ke4qq,Nam co duyen ghe ak!
@ng.vaan_9999,qua với nay coi 20 lần rồi mà k biết cuốn chỗ nào😂❤
@anhtran1885,chương trình của nhóm diễn ở sân khấu nào á mọi người ?
@Suong_Nho,Ông áo đen khúc cuối cười mà bẹo dạng luôn 😔😔
@hungngoc2264,.
@PhúTriệu-t7t,"Thề luôn mình cứ sợ nam sẽ hết hài, nhưng nam vẫn hài như ngày nào"
@alexandernguyen2604,Mình rất muốn đi xem show của sg tếu nhưng mà đến lúc làm thế nào để đi xem thì mình đi lính rồi
@khoaao4526,Maaaaaaaa anh Nammmmmmmmmm😂
@tienthanhnguyen4488,set này anh Nam diễn quá đỉnh
@BaoCypher0912,10 điểm anh ơi 😂
@lanchininh2909,Chồng tui hắt xì 1 cái cả xóm nghe
@Glonk01_de,tốn cái lều
@nhatthanhnguyen1820,Cười sặc cơm khi coi Nam
@phamhonghanh5307,Nam đẹp trai hơn trc nhiều á😂😂
@Tardigrades-dd1bd,"Lần đầu tiên trong sự nghiệp của m , IQ m có cải thiện .. cố lên cu"
@hehehekec3,1:25
@NhanSippo,Nét hài của Nam rất giống Matt Rife. Idol của mình
@TienNguyen-lb6fm,"Thích Nam lắm, có điều để ý Nam được mời vào những show có nghệ sĩ như ctr cuối năm đồ á, Nam nói ko à, ko có giao lưu vs khán giả. Muốn thấy Nam thật tự tin mạnh dạn hơn trong show cuối năm nay. Thật đấy"
@h277246,set này Nam crowd control tốt ghê
@NguyenTrung-md2xt,Level up!
@thanhthitran6781,Nam diễn set này đỉnh quá =))
@NatureAndAnimalsChannel2,xuất sắc quá! buồn là mở clip của Phương Nam ra xem
@HàMyTăng-d4b,Đỉnh
@sangbo2408,0:35. Mình có hắt xì kì lạ hơn nữa 😂 hắt xì + Pikachu -> Hắt xì chuuuuu
@Tuanminhhh-03,phương nam dạo này bị mập hả a e
@onelove-onepiece5696,Lượt view PN cao ngút
@trungdao5884,"Xuất ...sắc Nam ơi ❤ .thích SaìGòn Tuế
Có mấy bạn bên Acoustic q3 pk"
@Nguoikechuyen0h,Quan trọng trong stand up comedy vẫn là cái duyên trời cho
@EmDawg27,set này của anh Nam đỉnh quá luonnnn
@trangduy8662,Nam luôn rất dễ thương ☺☺!
@thanhdat-m1x,Nam quá hay.
@tuyentran9125,Duyên quá trời❤
